"Error: cannot find order in session","Fehler: Auftrag in Sitzung nicht gefunden"
"Error getting payment information from session","Fehler: Zahlungsdaten in Sitzung nicht gefunden"
"Error: no payment URL found in session","Fehler: keine Zahlungs-URL in der Sitzung"
"There was an error when validating your payment. Please try again or contact us if the problem persists.","Bei der Bestätigung Ihrer Zahlung ist ein Fehler aufgetreten. Bitte versuchen Sie es noch einmal oder kontaktieren Sie uns, falls das Problem weiterhin besteht."
"Cannot get payment information from order %s","Zahlungsdaten des Auftrags %s können nicht abgerufen werden"
"First instalment captured successfully","Erste Fälligkeit erfolgreich abgebucht"
"You notified customer about invoice %1","Der Kunde wurde über die Rechnung %1 informiert"
"API key","API-Schlüssel"
"API key is required","API-Schlüssel erforderlich"
"Error checking %s - other configuration has been saved","Überprüfungsfehler bei %s – die anderen Einstellungen wurden gespeichert"
"Test API key","Test-API-Schlüssel"
"Live API key","Live-API-Schlüssel"
"-- Please Select a Type --","-- Einen Typ auswählen --"
"Live","Live"
"Test","Test"
"(Maximum amount: %s)","(Höchstbetrag: %s)"
"(Minimum amount: %s)","(Mindestbetrag: %s)"
"An error occurred during payment processing:","Bei der Bearbeitung Ihrer Zahlung ist ein Fehler aufgetreten: "
"Successfully created Alma Payment. Redirecting customer & awaiting payment return.","Alma-Zahlung erstellt. Kunde an Alma weitergeleitet, Warten auf Rückzahlung."
"Alma Monthly Payments","Alma Monatliche Zahlungen"
"Title","Titel"
"Description","Beschreibung"
"Enabled","Aktiviert"
"Sort Order","Position"
"Debug","Debugging"
"Enable logging info and errors to help debug any issue with the module.","Aktiviert das Fehlerprotokoll und Informationen, die beim Beheben von Problemen mit dem Modul nützlich sind."
"Excluded product types","Ausgeschlossene Produkttypen"
"Excluded products message","Produktausschlussmeldung"
"List/explain which products aren't eligible to monthly payments","Auflisten/Erklären, welche Produkte nicht für die Bezahlung in mehreren Raten infrage kommen"
"API configuration","API-Konfiguration"
"You can find your API keys on <a href=""https://dashboard.getalma.eu/security"" target=""_blank"">your Alma dashboard</a>","Ihre API-Schlüssel finden Sie in <a href=""https://dashboard.getalma.eu/security"" target=""_blank"">Ihrem Alma-Dashboard</a>"
"API mode","API-Modus"
"Use Test mode until you are ready to take real orders with Alma. In Test mode, only admins can see Alma on cart/checkout pages.","Verwenden Sie den Testmodus, bis Sie bereit sind, Bestellungen mit Alma anzunehmen"
"Payment method configuration","Konfiguration der Zahlungsweise"
"This controls the payment method name which the user sees during checkout.","Konfiguriert den Namen der Zahlungsweise, die auf der Check-out-Seite erscheint"
"This controls the payment method description which the user sees during checkout.","Konfiguriert die Beschreibung der Zahlungsweise, die auf der Check-out-Seite erscheint"
"Cart display","Anzeigeeinstellungen Warenkorb"
"A message can be displayed in the cart and minicart to indicate the order eligibility for monthly payments","Eine Meldung, die darauf hinweist, dass der Auftrag für eine Ratenzahlung infrage kommt, kann im Einkaufswagen und auf der Minicart angezeigt werden"
"Display cart eligibility message","Berechtigungsmeldung anzeigen"
"Eligibility message","Berechtigungsmeldung"
"Non-eligibility message","Meldung über Nicht-Berechtigung"
"Virtual and downloadable products aren't eligible","Virtuelle Produkte/Downloads kommen nicht infrage."
"Yes","Ja"
"No","Nein"
"Monthly Payments with Alma","Monatliche Zahlungen mit Alma"
"Pay in 3 monthly payments with your credit card.","Bezahlen Sie 3 monatliche Zahlungen mit Ihrer Kreditkarte."
"Eligible for monthly payments","Kauf kommt für Ratenzahlung infrage"
"Not eligible for monthly payments","Kauf kommt nicht für Ratenzahlung infrage"
"Your order has been processed correctly but there was an error restoring your user session. You will find your order in your account.","Ihr Auftrag wurde erfolgreich bearbeitet, doch ein Fehler verhindert, dass Ihre Benutzersitzung wieder hergestellt werden kann. Sie finden Ihren Auftrag in Ihrem Konto."
"Customer Return URL","URL für Kundenrücksendung"
"<b>Advanced.</b> Overrides the <code>return_url</code> value of created payments","<b>Experte</b>. Überschreibt den Wert <code>return_url</code> der erstellten Zahlungen"
"IPN Callback URL","Anruf-URL für IPN"
