"Error: cannot find order in session","Fout: bestelling niet te vinden in sessie"
"Error getting payment information from session","Fout bij het ophalen van betalingsinformatie uit sessie"
"Error: no payment URL found in session","Fout: geen betalings-URL in sessie"
"There was an error when validating your payment. Please try again or contact us if the problem persists.","Er is een fout opgetreden bij het valideren van uw betaling. Probeer het opnieuw of neem contact met ons op als het probleem zich blijft voordoen."
"Cannot get payment information from order %s","Kan geen betalingsinformatie van order krijgen %s"
"First instalment captured successfully","Eerste termijn afgeschreven"
"You notified customer about invoice %1","U heeft de klant geïnformeerd over de factuur %1"
"API key","API-sleutel"
"API key is required","API sleutel is vereist"
"Error checking %s - other configuration has been saved","Foutcontrole %s - andere configuratie is opgeslagen"
"Test API key","Test API sleutel"
"Live API key","Live API sleutel"
"-- Please Select a Type --","-- Kies een type..."
"Live","Live"
"Test","Test"
"(Maximum amount: %s)","(Maximum bedrag: %s)"
"(Minimum amount: %s)","(Minimum bedrag: %s)"
"An error occurred during payment processing:","Er is een fout opgetreden tijdens de verwerking van de betaling:"
"Successfully created Alma Payment. Redirecting customer & awaiting payment return.","Succesvol aangemaakt Alma Betaling. Klant doorverwijzen"
"Alma Monthly Payments","Alma Maandelijkse Betalingen"
"Title","Titel"
"Description","Beschrijving"
"Enabled","Ingeschakeld"
"Sort Order","Sorteer volgorde"
"Debug","Debug"
"Enable logging info and errors to help debug any issue with the module.","Zet registratie van info en fouten aan om te helpen bij het debuggen van problemen met de module."
"Excluded product types","Uitgesloten producttypes"
"Excluded products message","Bericht uitgesloten producten"
"List/explain which products aren't eligible to monthly payments","Benoem/leg uit welke producten niet in aanmerking komen voor gespreid betalen"
"API configuration","API configuratie"
"You can find your API keys on <a href=""https://dashboard.getalma.eu/security"" target=""_blank"">your Alma dashboard</a>","U vindt uw API keys in <a href=""https://dashboard.getalma.eu/security"" target=""_blank"">uw Alma dashboard </a>"
"API mode","API modus"
"Use Test mode until you are ready to take real orders with Alma. In Test mode, only admins can see Alma on cart/checkout pages.","Gebruik de Test modus totdat u klaar bent om echte bestellingen met Alma te accepteren. In de Test modus kunnen alleen admins Alma op de winkelwagen/checkout pagina's zien."
"Payment method configuration","Configuratie van de betalingsmethode"
"This controls the payment method name which the user sees during checkout.","Hiermee wordt de naam van de betalingsmethode bepaald die de gebruiker ziet tijdens het afrekenen."
"This controls the payment method description which the user sees during checkout.","Hiermee wordt de beschrijving van de betalingsmethode bepaald die de gebruiker ziet tijdens het afrekenen."
"Cart display","Winkelwagen weergave"
"A message can be displayed in the cart and minicart to indicate the order eligibility for monthly payments","Een bericht kan worden weergegeven in de winkelwagen en minicart welke aangeeft of de bestelling in aanmerking komt voor maandelijkse betalingen of niet."
"Display cart eligibility message","Toon bericht in aanmerking komende winkelwagen"
"Eligibility message","Bericht in aanmerking komend"
"Non-eligibility message","Bericht niet-in aanmerking komend"
"Virtual and downloadable products aren't eligible","Virtuele/downloadbare producten komen niet in aanmerking"
"Yes","Ja"
"No","Nee"
"Monthly Payments with Alma","Maandelijkse betalingen met Alma"
"Pay in 3 monthly payments with your credit card.","Betaal in 3 maandelijkse termijnen met uw kredietkaart."
"Eligible for monthly payments","Komt in aanmerking voor gespreid betalen"
"Not eligible for monthly payments","Aankoop komt niet in aanmerking voor gespreid betalen"
"Your order has been processed correctly but there was an error restoring your user session. You will find your order in your account.","Uw bestelling is verwerkt, maar door een fout kan uw gebruikerssessie niet hersteld worden. U vindt uw bestelling in uw account."
"Customer Return URL","Klant Terug URL"
"<b>Advanced.</b> Overrides the <code>return_url</code> value of created payments","<b>Expert</b>. Overschrijft de waarde <code>return_url</code> van aangemaakte betalingen"
"IPN Callback URL","IPN Terugbel URL"
"<b>Advanced.</b> Overrides the <code>ipn_callback_url</code> value of created payments","<b>Expert</b>. Overschrijft de waarde <code>ipn_callback_url</code> van aangemaakte betalingen"
"Customer Cancel URL","Klant annuleer URL"
"<b>Advanced.</b> Overrides the <code>customer_cancel_url</code> value of created payments","<b>Expert</b>. Overschrijft de waarde <code>customer_cancel_url</code> van aangemaakte betalingen"
"<div class=""alma-payment-logo""></div><div class=""alma-payment-text"">Offer installments payments with Alma and instantly boost your sales.<br>Increase average order value by 60% and your sales by 20%.<br>With no subscription fees and no commitment, it’s risk free: you are paid upfront while your customers pay later.</div>","<div class=""alma-payment-logo""></div><div class=""alma-payment-text"">Bied betaling in termijnen aan met Alma en stimuleer direct uw verkoop.<br>Verhoog de gemiddelde orderwaarde met 60% en uw verkoop met 20%.<br>Zonder abonnementskosten en zonder verplichtingen en risicovrij: u wordt direct betaald terwijl uw klanten later betalen.</div>"
"<p>Some products (gift cards, license keys, software, weapons, ...) cannot be sold with Alma, <a href=""https://getalma.eu/legal/terms/payment"" target=""_blank"">as per our terms</a> (see Exclusions paragraph).</p><p>If you are selling such products on your shop, you need to configure Alma so that it is not enabled when customers view or shop them.</p>","<p>Bepaalde producten (geschenkbonnen, licentiesleutels, software, wapens, ...) kunnen niet worden gekocht met Alma, zoals vermeld in <a href=""https://getalma.eu/legal/terms/payment"" target=""_blank"">onze verkoopvoorwaarden</a> (zie paragraaf Uitsluitingen).</p><p>Als u dergelijke producten verkoopt, moet u de Alma module zodanig configureren dat deze gedeactiveerd wordt wanneer klanten deze producten bekijken of kopen. </p>"
"Products exclusions","Uitgesloten producten"
"Other configuration settings will be made available after you provide valid API keys.","Andere configuratie-instellingen worden beschikbaar gesteld nadat geldige API-keys zijn verstrekt."
"Today","Vandaag"
"Pay in %1 installments","Betalen in %1 keer"
"In %1 days","In %1 dagen"
"%1 installments","%1 keer"
"Including fees: %1","Inclusief kosten: %1"
"Payment plans","Betaalopties"
"Fees applied to each transaction for this plan:","Toegepaste kosten voor elke transactie:"
"Merchant fee variable:","Handelaarskosten variabel:"
"Merchant fee fixed:","Vast tarief voor de handelaar:"
"Customer fee:","Klantvergoeding:"
"Customer fixed fee:","Vast bedrag voor de klant:"
"Customer variable fee:","Variabele vergoeding voor de klant:"
"no fees","geen kosten"
"Minimum amount (€)","Minimum bedrag (€)"
"Minimum purchase amount for which this payment plan will be enabled","Minimum aankoopbedrag waarvoor dit schema wordt aangeboden:"
"Maximum amount (€)","Maximum bedrag (€)"
"Maximum purchase amount for which this payment plan will be enabled","Maximum aankoopbedrag waarvoor dit schema wordt aangeboden:"
"Pay later - <%= deferredType %>+<%= deferredDuration %>","Uitgestelde betaling: <%= deferredType %>+<%= deferredDuration %>"
"Pay later - D+%1","Betaal later - D+%1"
"Pay in <%= installmentsCount %> installments","Betaling in <%= installmentsCount %> keer"
"You can offer <%= installmentsCount %>-installment payments for amounts between <b><%= almaPriceFromCents(minAllowedAmount) %>€</b> and <b><%= almaPriceFromCents(maxAllowedAmount) %>€</b>.","U kunt betaling in  <%= installmentsCount %> keer aanbieden voor bedragen tussen <b><%= almaPriceFromCents(minAllowedAmount) %>€</b> en <b><%= almaPriceFromCents(maxAllowedAmount) %>€</b>."
"You can offer Pay Later payments at <%= deferredType %>+<%= deferredDuration %> for amounts between <b><%= almaPriceFromCents(minAllowedAmount) %>€</b> and <b><%= almaPriceFromCents(maxAllowedAmount) %>€</b>.","U kunt Pay Later betaling binnen <%= deferredType %>+<%= deferredDuration %> aanbieden voor bedragen tussen <b><%= almaPriceFromCents(minAllowedAmount) %>€</b> en <b><%= almaPriceFromCents(maxAllowedAmount) %>€</b>."
"<%= almaPriceFromCents(variable) %>%","<%= almaPriceFromCents(variabele) %>%"
"<%= almaPriceFromCents(fixed) %>€","<%= almaPriceFromCents(fixed) %>€"
"Product page display","Weergave productpagina"
"A badge can be displayed on product pages to indicate eligible payments plans","Op de productpagina's kan een badge worden getoond om aan te geven welke betaaloptie's in aanmerking komen"
"Activate Alma badge on product pages.","Activeer de Alma-badge op de productpagina's"
"Update with qty","Bijwerken met aantal"
"Dynamicaly updates the badge's price when product quantity is changed.","Werkt de prijs van de badge bij wanneer het gekozen aantal verandert."
