"Error: cannot find order in session","Erro: não foi possível encontrar a encomenda na sessão"
"Error getting payment information from session","Ocorreu um erro ao recolher dados de pagamento na sessão"
"Error: no payment URL found in session","Erro: não foi possível encontrar o URL de pagamento na sessão"
"There was an error when validating your payment. Please try again or contact us if the problem persists.","Ocorreu um erro ao validar o seu pagamento. Por favor, tente novamente mais tarde ou contate-nos se o problema persistir."
"Cannot get payment information from order %s","Não é possível obter os dados de pagamento da encomenda %s"
"First instalment captured successfully","Primeira prestação recebida com sucesso"
"You notified customer about invoice %1","Notificou o cliente sobre a fatura %1"
"API key","Chave API"
"API key is required","A chave API é obrigatória"
"Error checking %s - other configuration has been saved","Verificação de erros %s - outra configuração foi guardada"
"Test API key","Chave API de Teste"
"Live API key","Chave API Live"
"-- Please Select a Type --","-- Por favor, seleccione um tipo --"
"Live","Live"
"Test","Teste"
"(Maximum amount: %s)","(Montante máximo: %s)"
"(Minimum amount: %s)","(Montante mínimo: %s)"
"An error occurred during payment processing:","Ocorreu um erro durante o pagamento:"
"Successfully created Alma Payment. Redirecting customer & awaiting payment return.","Criou com sucesso a Alma Payment. Redirecionamento de cliente"
"Alma Monthly Payments","Pagamentos mensais da Alma"
"Title","Título"
"Description","Descrição"
"Enabled","Permitido"
"Sort Order","Ordenação das encomendas"
"Debug","Depuração"
"Enable logging info and errors to help debug any issue with the module.","Permitir o registo de informações e erros de acesso para ajudar a depurar qualquer problema com o módulo."
"Excluded product types","Tipos de produtos excluídos"
"Excluded products message","Mensagem de produtos excluídos"
"List/explain which products aren't eligible to monthly payments","Liste/explique quais são os produtos que não são elegíveis para pagamentos mensais"
"API configuration","configuração da API"
"You can find your API keys on <a href=""https://dashboard.getalma.eu/security"" target=""_blank"">your Alma dashboard</a>","Pode encontrar as suas chaves API no <a href=""https://dashboard.getalma.eu/security"" target=""_blank"">seu painel de controlo da Alma</a>"
"API mode","Modo API"
"Use Test mode until you are ready to take real orders with Alma. In Test mode, only admins can see Alma on cart/checkout pages.","Utilize o modo <b>Teste</b> até poder receber encomendas reais com a Alma.<br>No modo <b>Teste</b>, apenas os administradores podem ver a Alma nas páginas do cesto/checkout."
"Payment method configuration","Configuração do método de pagamento"
"This controls the payment method name which the user sees during checkout.","Controla o nome do método de pagamento que o utilizador vê no checkout."
"This controls the payment method description which the user sees during checkout.","Controla a descrição do método de pagamento que o utilizador vê no checkout."
"Cart display","Mostrar o cesto"
"A message can be displayed in the cart and minicart to indicate the order eligibility for monthly payments","Uma mensagem pode ser exibida no cesto e no minicartão para indicar a elegibilidade da encomenda para pagamentos mensais"
"Display cart eligibility message","Mostrar mensagem de elegibilidade do cesto"
"Eligibility message","Mensagem de elegibilidade"
"Non-eligibility message","Mensagem de não-elegibilidade"
"Virtual and downloadable products aren't eligible","Os produtos virtuais e para descarregamento não são elegíveis"
"Yes","Sim"
"No","Não"
"Monthly Payments with Alma","Pagamentos mensais com Alma"
"Pay in 3 monthly payments with your credit card.","Pague em 3 pagamentos mensais com o seu cartão de crédito."
"Eligible for monthly payments","Elegível para pagamentos mensais"
"Not eligible for monthly payments","Não elegível para pagamentos mensais"
"Your order has been processed correctly but there was an error restoring your user session. You will find your order in your account.","A sua encomenda foi processada corretamente mas ocorreu um erro ao restaurar a sua sessão de utilizador. Poderá encontrar a sua encomenda na sua conta."
"Customer Return URL","URL de retorno do cliente"
"<b>Advanced.</b> Overrides the <code>return_url</code> value of created payments","<b>Avançado.</b> Sobrepõe o <code>return_url</code> o valor dos pagamentos criados"
"IPN Callback URL","URL de retorno de IPN"
"<b>Advanced.</b> Overrides the <code>ipn_callback_url</code> value of created payments","<b>Avançado.</b> Sobrepõe o <code>ipn_callback_url</code> valor dos pagamentos criados"
"Customer Cancel URL","URL de cancelamento do cliente"
"<b>Advanced.</b> Overrides the <code>customer_cancel_url</code> value of created payments","<b>Avançado.</b> Sobrepõe o <code>cliente_cancel_url</code> valor dos pagamentos criados"
"<div class=""alma-payment-logo""></div><div class=""alma-payment-text"">Offer installments payments with Alma and instantly boost your sales.<br>Increase average order value by 60% and your sales by 20%.<br>With no subscription fees and no commitment, it’s risk free: you are paid upfront while your customers pay later.</div>","<div class=""alma-payment-logo""></div><div class=""alma-payment-text"">Ofereça pagamentos em prestações com a Alma e aumente imediatamente as suas vendas.<br>Aumente o valor médio das encomendas em 60%
e as suas vendas em 20%.<br>Sem encargos de subscrição e sem compromisso, é sem risco: o seu pagamento é imediato e os seus clientes pagam mais tarde.</div>"
"<p>Some products (gift cards, license keys, software, weapons, ...) cannot be sold with Alma, <a href=""https://getalma.eu/legal/terms/payment"" target=""_blank"">as per our terms</a> (see Exclusions paragraph).</p><p>If you are selling such products on your shop, you need to configure Alma so that it is not enabled when customers view or shop them.</p>","<p>Alguns produtos (cartões de oferta, chaves de licença, software, armas, ...) não podem ser vendidos com a Alma, <a href=""https://getalma.eu/legal/terms/payment"" target=""_blank"">de acordo com os nossos termos</a> (ver parágrafo Exclusões).</p><p>Se vender esses produtos na sua loja, precisa de configurar a Alma para que não ser ativada quando os clientes os virem ou comprarem.</p>"
"Products exclusions","Exclusões de produtos"
"Other configuration settings will be made available after you provide valid API keys.","Outras configurações serão disponibilizadas após o fornecimento de chaves API válidas."
"Today","Hoje"
"Pay in %1 installments","Pagar em %1 prestações"
"In %1 days","Em %1 dias"
"%1 installments","%1 prestações"
"Including fees: %1","Incluindo encargos: %1"
"Payment plans","Planos de pagamento"
"Fees applied to each transaction for this plan:","Encargos aplicados a cada transação para este plano:"
"You pay:","Paga:"
"Customers pay:","Os clientes pagam:"
"no fees","nenhum encargo"
"Minimum amount (€)","Montante mínimo (€)"
"Minimum purchase amount for which this payment plan will be enabled","Montante mínimo de compra para o qual este plano de pagamento será ativado"
"Maximum amount (€)","Montante máximo (€)"
"Maximum purchase amount for which this payment plan will be enabled","Montante máximo de compra para o qual este plano de pagamento será ativado"
"Pay later - <%= deferredType %>+<%= deferredDuration %>","Pagar depois - <%= deferredType %>+<%= deferredDuration %>"
"Pay in <%= installmentsCount %> installments","Pagar em <%= installmentsCount %> prestações"
"You can offer <%= installmentsCount %>-installment payments for amounts between <b><%= almaPriceFromCents(minAllowedAmount) %>€</b> and <b><%= almaPriceFromCents(maxAllowedAmount) %>€</b>.","Pode oferecer <%= installmentsContar %>-pagamentos de prestações para montantes entre <b><%= almaPriceFromCents(minAllowedAmount) %>€</b> e <b><%= almaPriceFromCents(maxAllowedAmount) %>€</b>."
"You can offer Pay Later payments at <%= deferredType %>+<%= deferredDuration %> for amounts between <b><%= almaPriceFromCents(minAllowedAmount) %>€</b> and <b><%= almaPriceFromCents(maxAllowedAmount) %>€</b>.","Pode oferecer pagamentos Pay Later <%= deferredType %>+<%= deferredDuration %> para montantes entre <b><%= almaPriceFromCents(minAllowedAmount) %>€</b> e <b><%= almaPriceFromCents(maxAllowedAmount) %>€</b>."
"<%= almaPriceFromCents(variable) %>%","<%= almaPriceFromCents(variable) %>%"
"<%= almaPriceFromCents(fixed) %>€","<%= almaPriceFromCents(fixed) %>€"
"Product page display","Apresentação da página do produto"
"A badge can be displayed on product pages to indicate eligible payments plans","Um crachá pode ser exibido nas páginas dos produtos para indicar os planos de pagamento elegíveis"
"Activate Alma badge on product pages.","Ative o crachá da Alma nas páginas dos produtos."
"Update with qty","Atualização da quantidade"
